#group,false,false,true,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,host,topic,altitude,filtered_a,filtered_s,filtered_v,gx,gy,gz,latitude,longitude,state,temperature
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:56.849257954Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.468,0.002,1272.435,-0.022,-0.028,-0.005,-0.019,0.31292084,37.51375198,0,33.706
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:56.895268274Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.474,0.003,1272.437,-0.02,-0.03,-0.005,-0.02,0.31292084,37.51375198,0,33.701
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:56.932179516Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.474,0.003,1272.437,-0.02,-0.03,-0.005,-0.02,0.31292084,37.51375198,0,33.701
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:56.967371243Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.491,0.003,1272.44,-0.017,-0.026,-0.005,-0.02,0.31292084,37.51375198,0,33.695
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.010615582Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.491,0.003,1272.44,-0.017,-0.026,-0.005,-0.02,0.31292084,37.51375198,0,33.695
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.046191144Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.491,0.004,1272.444,-0.014,-0.03,-0.005,-0.019,0.31292084,37.51375198,0,33.704
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.089682223Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.491,0.004,1272.444,-0.014,-0.03,-0.005,-0.019,0.31292084,37.51375198,0,33.704
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.125498766Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.496,0.005,1272.448,-0.011,-0.03,-0.005,-0.019,0.31292084,37.51375198,0,33.709
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.169766616Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.496,0.005,1272.448,-0.011,-0.03,-0.005,-0.019,0.31292084,37.51375198,0,33.709
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.20546189Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.416,0.005,1272.445,-0.011,-0.027,-0.005,-0.02,0.31292084,37.51375198,0,33.704
